AUG;Aughton Park;AGHTNPH
AUI;Ardlui;ARDLUI
AUK;Auchinleck;ACHILCK
AUR;Aberdour;ABDO
AUW;Ascott-under-Wychwood;ASCTUWD
AVF;Avoncliff;AVNCLFF
AVM;Aviemore;AVIEMRE
AVN;Avonmouth;AVONMTH
AVP;Aylesbury Vale Parkway;AYLSPWY
AVY;Aberdovey;ABDVY
AWK;Adwick;ADWICK
AWM;Ashwell & Morden;ASHWELC
AWT;Armathwaite;ARMTHWT
AXM;Axminster;AXMNSTR,AXMNSTS
AXP;Alexandra Parade;ALXPD
AYH;Aylesham;ALSHAM
AYL;Aylesford;AYLESFD
AYP;Albany Park;ALBNYPK
AYR;Ayr;AYRR
AYS;Aylesbury;AYLSBRY
AYW;Aberystwyth;ABRYSTH
BAA;Barnham;BRHM
BAB;Balcombe;BALCOMB
BAC;Bache;BACHE
BAD;Banstead;BANSTED
BAG;Bagshot;BAGSHOT
BAH;Bank Hall;BNKHALL
BAI;Blairhill;BLAIRHL
BAJ;Baglan;BGLAN
BAK;Battersea Park;BATRSPK
BAL;Balham;BALHAM
BAM;Bamford;BAMFORD
BAN;Banbury;BNBR
BAR;Bare Lane;BARELA
BAS;Bere Alston;BEREALS
BAT;Battle;BATTLE
BAU;Barton On Humber;BRTHMBR
BAV;Barrow Haven;BARWHVN
BAW;Blackwater;BCKWATR
BAY;Bayford;BAYFORD
BBG;Bishopbriggs;BSHB
BBK;Bilbrook;BILBROK
BBL;Bat and Ball;BATABAL
BBN;Blackburn;BLKB
BBS;Bordesley;BRDS
BBW;Berry Brow;BERRYB
BCB;Burscough Bridge;BRSCGHB
BCC;Beccles;BECCLES
BCE;Bracknell;BRACKNL
BCF;Beaconsfield;BCNSFLD
BCG;Birchgrove;BCHGRV
BCH;Birchington On Sea;BCNGNOS
BCJ;Burscough Junction;BRSCGHJ
BCK;Buckley;BCKY
BCN;Branchton;BRNCHTN
BCS;Bicester North;BCSTN
BCU;Brockenhurst;BKNHRST
BCV;Bruce Grove;BRUCGRV
BCY;Brockley;BROCKLY
BDA;Brundall;BRUNDAL
BDB;Broadbottom;BRBM
BDG;Bridgeton;BRIDGTN
BDH;Bedhampton;BDHMPTN
BDI;Bradford Interchange;BRADIN
BDK;Baldock;BALDOCK
BDL;Birkdale;BKDLE
BDM;Bedford;BEDFDM
BDN;Brading;BRDING
BDQ;Bradford Forster Square;BRADFS
BDT;Bridlington;BRDLNGT
BDW;Bedwyn;BEDYN
BDY;Bredbury;BREDBRY
BEA;Bridge Of Allan;BGOALAN
BEB;Bebington;BEBNGTN
BEC;Beckenham Hill;BCKNHMH
BEE;Beeston;BESTON
BEF;Benfleet;BENFLET
BEG;Beltring;BLTRNAB
BEH;Bedworth;BEDWRTH
BEL;Beauly;BEAULY
BEM;Bempton;BEMPTON
BEN;Bentham;BNTHAM
BER;Bearley;BEARLEY
BES;Bescar Lane;BESCRLA
BET;Bethnal Green;BTHNLGR
BEU;Beaulieu Road;BLIEURD
BEV;Beverley;BEVERLY
BEX;Bexhill;BEXHILL
BEY;Ben Rhydding;BNRHYDN
BFD;Brentford;BNTFORD
BFE;Bere Ferrers;BEREFRS
BFF;Blaenau Ffestiniog;BLAENAU
BFN;Byfleet & New Haw;BYFLANH
BFR;London Blackfriars;BLFR
BGA;Brundall Gardens;BRUNDLG
BGD;Bargoed;BARGOED
BGE;Broad Green;BROADGR
BGG;Brigg;BRGG
BGH;Brighouse;BRHOUSE
BGI;Bargeddie;BRGDDIE
BGL;Bugle;BUGLE
BGM;Bellingham;BELNGHM
BGN;Bridgend;BRGEND
BGS;Bogston;BOGSTON
BHC;Balloch;BALLOCH
BHD;Brithdir;BRITHDR
BHG;Bathgate;BTHGATE
BHI;Birmingham International;BHAMINT
BHK;Bush Hill Park;BHILLPK
BHM;Birmingham New Street;BHAMNWS
BHO;Blackhorse Road;BLCHSRD
BHR;Builth Road;BUILTHR
BHS;Brockholes;BKHLS
BIA;Bishop Auckland;BSAUKLD
BIC;Billericay;BILERCY
BID;Bidston;BDSTON
BIF;Barrow-In-Furness;BAROW
BIG;Billingshurst;BILSHST
BIK;Birkbeck;BIRKBCK
BIL;Billingham;BLNGHM
BIN;Bingham;BINGHAM
BIO;Baillieston;BALISTN
BIP;Bishopstone;BSSN
BIS;Bishops Stortford;BSHPSFD
BIT;Bicester Town;BCSTRTN
BIW;Biggleswade;BIGLSWD
BIY;Bingley;BNGY
BKA;Bookham;BOOKHAM
BKC;Birkenhead Central;BRKNHDC
BKD;Blakedown;BLAKEDN
BKG;Barking;BARKING,BARKGLT
BKH;Blackheath;BLKHTH
BKJ;Beckenham Junction;BCKNHMJ,BCKNMJC
BKL;Bickley;BICKLEY
BKM;Berkhamsted;BERKHMD
BKN;Birkenhead North;BRKNHDN
BKO;Brookwood;BRKWOOD
BKP;Birkenhead Park;BRKNHDP
BKQ;Birkenhead Hamilton Square;HAMTSQ
BKR;Blackridge;BLKRDGE
BKS;Bekesbourne;BEKSBRN
BKT;Blake Street;BLKST
BKW;Berkswell;BKSWELL
BLA;Blair Atholl;BLARATH
BLB;Battlesbridge;BTLSBDG
BLD;Baildon;BAILDON
BLE;Bramley (West Yorks);BRMLYSR
BLG;Bellgrove;BLGRVE
BLH;Bellshill;BLSHL
BLK;Blackrod;BLRD
BLL;Bardon Mill;BRDNML
BLM;Belmont;BELM
BLN;Blundellsands & Crosby;BLNDLAC
BLO;Blaydon;BLAYDON
BLP;Belper;BELPER
BLT;Blantyre;BLANTYR
BLV;Belle Vue;BLLVUE
BLW;Bulwell;BULWELL
BLX;Bloxwich;BLOXWCH
BLY;Bletchley;BLTCHLY
BMB;Bamber Bridge;BMBRBDG
BMC;Bromley Cross;BRMCRSS
BMD;Brimsdown;BRIMSDN
BME;Broome;BROOME
BMF;Broomfleet;BRFT
BMG;Barming;BARMING
BMH;Bournemouth;BOMO
BML;Bramhall;BMHL
BMN;Bromley North;BROMLYN
BMO;Birmingham Moor Street;BHAMMRS
BMP;Brampton (Cumbria);BRMPTNC
BMR;Bromborough Rake;BRMBRK
BMS;Bromley South;BROMLYS
BMT;Bedminster;BDMNSTR
BMV;Bromsgrove;BRMSGRV
BMY;Bramley (Hants);BMLY
BNA;Burnage;BAGE
BNC;Burnley Central;BURNLYC
BND;Brandon;BNDON
BNE;Bourne End;BORNEND
BNF;Briton Ferry;BRITFRY
BNG;Bangor (Gwynedd);BANGOR
BNH;Barnehurst;BRNHRST
BNI;Barnes Bridge;BNSBDGE
BNL;Barnhill;BNHL
BNM;Burnham (Bucks);BNHAM
BNP;Barnstaple;BRNSTPL
BNS;Barnes;BARNES
BNT;Brinnington;BRNGTN
BNV;Banavie;BANAVIE
BNW;Bootle New Strand;BOOTLNS
BNY;Barnsley;BNSLY
BOA;Bradford-on-Avon;BRDFDOA
BOC;Bootle (Cumbria);BOOTLE
BOD;Bodmin Parkway;BODMNPW
BOE;Botley;BOTLEY
BOG;Bognor Regis;BOGNORR
BOH;Bosham;BOSHAM
BOM;Bromborough;BRMB
BON;Bolton;BOLTON
BOP;Bowes Park;BOWESPK
BOR;Bodorgan;BODORGN
BOT;Bootle Oriel Road;BOOTLOR
BPB;Blackpool Pleasure Beach;BLCKPB
BPK;Brookmans Park;BRKMNPK
BPN;Blackpool North;BLCKPLN
BPS;Blackpool South;BLCKS
BPT;Bishopton;BISHPTN
BPW;Bristol Parkway;BRSTPWY
BRA;Brora;BRORA
BRC;Breich;BREICH
BRE;Brentwood;BRTWOOD
BRF;Brierfield;BRIERFL
BRG;Borough Green & Wrotham;BORWGAW
BRH;Borth;BORTH
BRI;Bristol Temple Meads;BRSTLTM
BRK;Berwick (East Sussex);BERWICK
BRL;Barrhill;BRRHL
BRM;Barmouth;BRMOUTH
BRN;Bearsden;BSDN
BRO;Bridge Of Orchy;BOORCHY
BRP;Brampton (Suffolk);BRAMPTN
BRR;Barrhead;BRHD
BRS;Berrylands;BRLANDS
BRT;Barlaston;BARLSTN
BRU;Bruton;BRUTON
BRV;Bournville;BOURNVL
BRW;Brunswick;BNWK
BRX;Brixton;BRIXTON
BRY;Barry;BARRY
BSB;Bleasby;BLEASBY
BSC;Bescot Stadium;BSCTSTA
BSD;Bearsted;BSTD
BSE;Bury St Edmunds;BSTEDMS
BSH;Bushey;BUSHEY,BUSHYDC
BSI;Balmossie;BALMOSS
BSJ;Bedford St Johns;BESJOHN
BSK;Basingstoke;BSNGSTK
BSL;Beasdale;BEASDAL
BSM;Branksome;BRANKSM
BSN;Boston;BOSTON
BSO;Basildon;BASILDN
BSP;Brondesbury Park;BRBYPK
BSR;Broadstairs;BRSR
BSS;Barassie;BARASIE
BSU;Brunstane;BRUSTAN
BSV;Buckshaw Parkway;CHORBUK
BSW;Birmingham Snow Hill;BHAMSNH
BSY;Brondesbury;BRBY
BTB;Barnetby;BNTBY
BTD;Bolton-on-Dearne;BLTNODR
BTE;Bitterne;BITERNE
BTF;Bottesford;BOTESFD
BTG;Barnt Green;BGRN
BTH;Bath Spa;BATHSPA
BTL;Batley;BATLEY
BTN;Brighton;BRGHTN
BTO;Betchworth;BTCHWTH
BTP;Braintree Freeport;BRAINFP
BTR;Braintree;BRAINTR
BTS;Burntisland;BISLND
BTT;Battersby;BTRSBY
BTY;Bentley (Hants);BNTEY
BUB;Burnley Barracks;BURNLYB
BUC;Buckenham;BUCKNHM
BUD;Burneside (Cumbria);BNSD
BUE;Bures;BURES
BUG;Burgess Hill;BURGESH
BUH;Brough;BROUGH
BUI;Burnside (Strathclyde);BRSDE
BUJ;Burton Joyce;BRTJYC
BUK;Bucknell;BKNELL
BUL;Butlers Lane;BTLRSLA
BUO;Bursledon;BURSLDN
BUS;Busby;BUSBY
BUT;Burton-on-Trent;BURTNOT
BUU;Burnham On Crouch;BRNMONC
BUW;Burley In Wharfedale;BURLYIW
BUX;Buxton;BUXTON
BUY;Burley Park;BRLEYPK
BVD;Belvedere;BELVEDR
BWB;Bow Brickhill;BOWBRKH
BWD;Birchwood;BIRCHWD
BWG;Bowling;BOWLING
BWK;Berwick-Upon-Tweed;BRWCKUT
BWN;Bloxwich North;BLOXN
BWO;Bricket Wood;BCWD
BWS;Barrow Upon Soar;BAROWOS
BWT;Bridgwater;BRDGWTR
BXB;Broxbourne;BROXBRN
BXD;Buxted;BXTD
BXH;Bexleyheath;BXLYHTH
BXW;Boxhill & Westhumble;BOXHAWH
BXY;Bexley;BEXLEY
BYA;Berney Arms;BRNYARM
BYB;Blythe Bridge;BLYBDGE
BYC;Betws-y-Coed;BETSYCD
BYD;Barry Docks;BARRYDK
BYE;Bynea;BYNEA
BYF;Broughty Ferry;BRFRY
BYI;Barry Island;BARRYIS
BYK;Bentley (Yorks);BTLYSY
BYL;Barry Links;BRRYLNK
BYM;Burnley Manchester Road;BURNMR
BYN;Bryn;BRYN
BYS;Braystones;BRYSTNS
CAC;Caldercruix;CLDRCRX
CAD;Cadoxton;CADOXTN
CAG;Carrbridge;CARRBDG
CAK;Cark & Cartmel;CARK
CAM;Camberley;CMBLEY
CAN;Carnoustie;CNST
CAO;Cannock;CNCK
CAR;Carlisle;CARLILE
CAS;Castleton;CSTL
CAT;Caterham;CATERHM
CAU;Causeland;CAUSLND
CAY;Carntyne;CNTY
CBB;Carbis Bay;CARBISB
CBC;Coatbridge Central;COATBDC
CBE;Canterbury East;CNTBE
CBG;Cambridge;CAMBDGE
CBH;Cambridge Heath;CAMHTH
CBL;Cambuslang;CMBSLNG
CBN;Camborne;CBORNE
CBP;Castle Bar Park;CBARPAR
CBR;Cooksbridge;COKSBDG
CBS;Coatbridge Sunnyside;COATBDS
CBW;Canterbury West;CNTBW
CBY;Charlbury;CHBURY
CCC;Criccieth;CRICCTH
CCH;Chichester;CHCHSTR
CCT;Cathcart;CCRT
CDB;Cardiff Bay;CARDFBR
CDD;Cardenden;CDND
CDF;Cardiff Central;CRDFCEN
CDI;Crediton;CREDITN
CDN;Coulsdon Town;COLSTWN
CDO;Cardonald;CDNL
CDQ;Cardiff Queen Street;CARDFQS
CDR;Cardross;CDRS
CDS;Coulsdon South;COLSDNS
CDT;Caldicot;CDCOT
CDU;Cam & Dursley;DURSLEY
CDY;Cartsdyke;CRTSDYK
CEA;Cleland;CLELAND
CED;Cheddington;CHDNGTN
CEF;Chapel-en-Le-Frith;CHEF
CEH;Coleshill;COLESH
CEL;Chelford;CHELFD
CES;Cressing;CRESING
CET;Colchester Town;CLCHRTN
CEY;Cononley;CONONLY
CFB;Catford Bridge;CATFBDG
CFD;Castleford;CASTLFD
CFF;Croftfoot;CFFT
CFH;Chafford Hundred;CHADHDD
CFL;Crossflatts;CFLATTS
CFN;Clifton Down;CLFDOWN
CFO;Chalfont & Latimer;CHLFNAL
CFR;Chandlers Ford;CSFD
CFT;Crofton Park;CFPK
CGD;Craigendoran;CRGDRN
CGM;Cottingham;CTTGHM
CGN;Cogan;COGAN
CGW;Caergwrle;CAERGWL
CHC;Charing Cross (Glasgow);CHRNGXG
CHD;Chesterfield;CHFD
CHE;Cheam;CHEAM
CHF;Church Fenton;CHFN
CHG;Charing;CRNG
CHH;Christs Hospital;CHRSTSH
CHI;Chingford;CHINGFD
CHK;Chiswick;CHISWCK
CHL;Chilworth;CHLWTH
CHM;Chelmsford;CHLMSFD
CHN;Cheshunt;CHESHNT
CHO;Cholsey;CHOLSEY
CHP;Chipstead;CHSD
CHR;Christchurch;CHRISTC
CHT;Chathill;CHHL
CHU;Cheadle Hulme;CHDH
CHW;Chalkwell;CHLKWEL
CHX;London Charing Cross;CHRX
CHY;Chertsey;CHTSEY
CIL;Chilham;CLMN
CIM;Cilmeri;CILMERY
CIR;Caledonian Road & Barnsbury;CLDNNRB
CIT;Chislehurst;CHSLHRS
CKH;Corkerhill;CKHL
CKL;Corkickle;CRCK
CKN;Crewkerne;CRKRN
CKS;Clarkston;CLRKSTN
CKT;Crookston;CROKSTN
CKY;Crosskeys;CRSKEYS
CLA;Clandon;CLANDON
CLC;Castle Cary;CCARY
CLD;Chelsfield;CHLSFLD
CLE;Cleethorpes;CLTHRPS
CLG;Claygate;CLYGATE
CLH;Clitheroe;CLITHRO
CLI;Clifton;CLTN
CLJ;Clapham Junction;CLPHMJN,CLPHMJ1,CLPHMJ2,CLPHMJC,CLPHMJM,CLPHMJW
CLK;Clock House;CLOCKHS
CLL;Collington;CTNG
CLM;Collingham;CLHM
CLN;Chapeltown;CHPLTWN
CLP;Clapham High Street;CLPHHS
CLR;Clarbeston Road;CLARBRD
CLS;Chester-Le-Street;CLST
CLT;Clacton-on-Sea;CLACTON
CLU;Carluke;CRLK
CLV;Claverdon;CLAVRDN
CLW;Chorleywood;CHRW
CLY;Chinley;CHNLY
CMD;Camden Road;CMDNRD
CME;Combe (Oxon);COMBE
CMF;Cromford;CROMFD
CMH;Cwmbach;CMBH
CML;Carmyle;CARMYLE
CMN;Carmarthen;CMTHN
CMO;Camelon;CAMELON
CMR;Cromer;CMER
CMY;Crossmyloof;CRSMYLF
CNE;Colne;COLNE
CNF;Carnforth;CRNF
CNG;Congleton;CONGLTN
CNL;Canley;CANLEY
CNM;Cheltenham Spa;CHLTNHM
CNN;Canonbury;CNNB
CNO;Chetnole;CHETNOL
CNP;Birkenhead Conway Park;BRKNCPK
CNR;Crianlarich;CRNLRCH
CNS;Conisbrough;CONBRGH
CNW;Conwy;CONWY
CNY;Cantley;CNTLEY
COA;Coatdyke;COATDYK
COB;Cooden Beach;CODNBCH
COE;Coombe (Cornwall);COOMBE
COH;Crowborough;CBGH
COI;Crosshill;CROSSHL
COL;Colchester;CLCHSTR
COM;Commondale;COMONDL
CON;Connel Ferry;CONNELF
COO;Cookham;COOKHAM
COP;Copplestone;COPLSTN
COR;Corby;CORBY
COS;Cosford;COSFORD
COT;Cottingley;COTNGLY
COV;Coventry;COVNTRY
COW;Cowdenbeath;CWDNBTH
COY;Coryton;CORYTON
CPA;Corpach;CORPACH
CPH;Caerphilly;CRPHLY
CPK;Carpenders Park;CRPNDPK
CPM;Chippenham;CHIPNHM
CPN;Chapelton;CHAPLTN
CPT;Clapton;CLAPTON
CPU;Capenhurst;CPNHRST
CPW;Chepstow;CHEPSTW
CPY;Clapham (North Yorkshire);CLPM
CRA;Cradley Heath;CRADLYH
CRB;Corbridge;CRBG
CRD;Chester Road;CHSRD
CRE;Crewe;CREWE
CRF;Carfin;CARFIN
CRG;Cross Gates;CSGT
CRH;Crouch Hill;CROUCHH
CRI;Cricklewood;CRKLWD
CRK;Chirk;CHIRK
CRL;Chorley;CHORLEY
CRM;Cramlington;CRMLNGT
CRN;Crowthorne;CRWTHRN
CRO;Croy;CROY
CRR;Corrour;CORROUR
CRS;Carstairs;CRSTRS
CRT;Chartham;CHARTHM
CRV;Craven Arms;CRAVENA
CRW;Crawley;CRAWLEY
CRY;Crayford;CRFD
CSA;Cosham;COSHAM
CSB;Carshalton Beeches;CRSHLTB
CSD;Cobham & Stoke d'Abernon;CBHMSDA
CSG;Cressington;CRSNGTN
CSH;Carshalton;CRSHLTN
CSK;Calstock;CALSTCK
CSL;Codsall;CODSALL
CSM;Castleton Moor;CTNM
CSN;Chessington North;CHSSN
CSO;Croston;CROT
CSR;Chassen Road;CHASNRD
CSS;Chessington South;CHSSS
CST;London Cannon Street;CANONST
CSW;Chestfield & Swalecliffe;CHSW
CSY;Coseley;COSELEY
CTE;Chatelherault;CHTLRT
CTF;Catford;CATFORD
CTH;Chadwell Heath;CHDWLHT
CTK;City Thameslink;CTMSLNK
CTL;Cattal;CATTAL
CTM;Chatham;CHATHAM
CTN;Charlton;CRLN
CTO;Carlton;CRTN
CTR;Chester;CHST
CTT;Church Stretton;CSTR
CTW;Church & Oswaldtwistle;CHOS
CUA;Culrain;CULRAIN
CUB;Cumbernauld;CMBRNLD
CUD;Cuddington;CUDNGTN
CUF;Cuffley;CUFFLEY
CUH;Curriehill;CURRIEH
CUM;Culham;CULHAM
CUP;Cupar;CUPAR
CUW;Clunderwen;CLYNDRW
CUX;Cuxton;CXTN
CWB;Colwyn Bay;CBAY
CWC;Chappel & Wakes Colne;CHPWKSC
CWD;Creswell;CRWLL
CWE;Crowle;CROWLE
CWH;Crews Hill;CRHL
CWL;Colwall;CLWALL
CWM;Cwmbran;CWMBRAN
CWN;Cowden;COWDEN
CWS;Caersws;CARSWS
CWU;Crowhurst;CRWHRST
CYB;Cefn-y-Bedd;CEFNYBD
CYK;Clydebank;CLYBANK
CYN;Cynghordy;CYNGHRD
CYP;Crystal Palace;CRYSTLP
CYS;Cathays;CATHAYS
CYT;Cherry Tree;CHTR
DAG;Dalgety Bay;DALGETY
DAK;Dalmarnock;DLMRNOK
DAL;Dalmally;DLMALLY
DAM;Dalmeny;DLMY
DAN;Darnall;DARNALL
DAR;Darlington;DLTN
DAT;Datchet;DATCHET
DBC;Dumbarton Central;DMBRTNC
DBD;Denby Dale;DNDL
DBE;Dumbarton East;DMBRTNE
DBG;Dunbridge;MOTFONT
DBL;Dunblane;DUNANE
DBR;Derby Road;DERBYRD
DBY;Derby;DRBY
DCG;Duncraig Halt;DUNCRAG
DCH;Dorchester South;DRCHS
DCT;Danescourt;DANESCT
DCW;Dorchester West;DRCHW
DDG;Dorridge;DORIDGE
DDK;Dagenham Dock;DGNHMDC
DDP;Dudley Port;DUDLPT
DEA;Deal;DEAL
DEE;Dundee;DUNDETB
DEN;Dean (Wilts);DEAN
DEP;Deptford;DEPTFD
DEW;Dewsbury;DWBY
DFD;Dartford;DARTFD
DFE;Dunfermline Town;DNFRMLE
DFI;Duffield;DUFIELD
DFL;Dunfermline Queen Margaret;DNFRMQM
DFP;Dublin Ferryport;DUBLINF
DFR;Drumfrochar;DRMFCHR
DGC;Denham Golf Club;DENHMGC
DGL;Dingle Road;DGLROAD
DGT;Deansgate;MNCRDGT
DGY;Deganwy;DEGANWY
DHM;Durham;DRHM
DHN;Deighton;DEIGHTN
DID;Didcot Parkway;DIDCOTP
DIG;Digby & Sowton;DIGBY
DIN;Dingwall;DINGWAL
DIS;Diss;DISS
DKD;Dunkeld & Birnam;DUNKELD
DKG;Dorking;DORKING
DKT;Dorking West;DRKGW
DLG;Dolgarrog;DOLGARG
DLH;Doleham;DOLEHAM
DLJ;Dalston Junction;DALS
DLK;Dalston Kingsland;DALSKLD
DLM;Delamere;DELAMER
DLR;Dalreoch;DLREOCH
DLS;Dalston;DALSTON
DLT;Dalton;DALTON
DLW;Dalwhinnie;DALWHIN
DLY;Dalry;DALRY
DMC;Drumchapel;DRMCHPL
DMF;Dumfries;DUMFRES
DMG;Dinas Rhondda;DINASR
DMH;Dilton Marsh;DILTONM
DMK;Denmark Hill;DENMRKH
DMP;Dumpton Park;DUMPTNP
DMR;Dalmuir;DALMUIR
DMS;Dormans;DORMANS
DMY;Drumry;DRUMRY
DND;Dinsdale;DINSDAL
DNG;Dunton Green;DTNG
DNL;Dunlop;DNLP
DNM;Denham;DENHAM
DNO;Dunrobin Castle;DNROBIN
DNS;Dinas Powys;DINASP
DNT;Dent;DENT
DNY;Danby;DANBY
DOC;Dockyard;DOCKYDP
DOD;Dodworth;DODWRTH
DOL;Dolau;DOLAU
DON;Doncaster;DONC
DOR;Dore;DORE
DOT;Dunston;DNSN
DOW;Downham Market;DOWNHAM
DPD;Dorking Deepdene;DEPDENE
DPS;Dublin Port (Stena);DUBLFST
DPT;Devonport;DEVNPRT
DRF;Driffield;DRIFILD
DRG;Drayton Green;DRAYGRN
DRI;Drigg;DRIGG
DRM;Drem;DREMJ
DRN;Duirinish;DUIRNSH
DRO;Dronfield;DRONFLD
DRT;Darton;DRTN
DRU;Drumgelloch;DRMGLCH
DSL;Disley;DISLEY
DSM;Darsham;DARSHAM
DST;Duke Street;DUKEST
DSY;Daisy Hill;DAISYH
DTG;Dinting;DNTG
DTN;Denton;DNTON
DTW;Droitwich Spa;DRTWCHS
DUD;Duddeston;DUDESTN
DUL;Dullingham;DULNGHM
DUM;Dumbreck;DUMBRCK
DUN;Dunbar;DUNBAR
DUR;Durrington-on-Sea;DRNGTOS
DVC;Dovercourt;DOVRCRT
DVH;Dove Holes;DVHL
DVN;Davenport;DAVNPRT
DVP;Dover Priory;DOVERP
DVY;Dovey Junction;DOVYJN
DWD;Dolwyddelan;DLWYDLN
DWL;Dawlish;DAWLISH
DWN;Darwen;DARWEN
DWW;Dawlish Warren;DAWLSHW
DYC;Dyce;DYCE
DYF;Dyffryn Ardudwy;DYFRYNA
DYP;Drayton Park;DRYP
DZY;Danzey;DANZEY
EAD;Earlsfield;ERLFLD
EAG;Eaglescliffe;EGLSCLF
EAL;Ealing Broadway;EALINGB
EAR;Earley;ERLY
EBA;Euxton Balshaw Lane;EUXT
EBD;Ebbsfleet International;EBSFDOM,EBSFLTI
EBK;Eastbrook;EASTBRK
EBN;Eastbourne;EBOURNE
EBR;Edenbridge;EDNB
EBT;Edenbridge Town;EDNT
EBV;Ebbw Vale Parkway;EBWVPWY
ECC;Eccles;ECCLES
ECL;Eccleston Park;ECPK
ECR;East Croydon;ECROYDN
ECS;Eccles Road;ECLR
EDB;Edinburgh Waverley;EDINBUR
EDG;Edge Hill;EDGH
EDL;Edale;EDALE
EDN;Eden Park;EDPK
EDP;Edinburgh Park;EDINPRK
EDR;Edmonton Green;EDMNGRN
EDW;East Dulwich;EDULWCH
EDY;East Didsbury;EDIDBRY
EFF;Effingham Junction;EFNGHMJ
EFL;East Farleigh;EFARLGH
EGF;East Garforth;EGRFRTH
EGG;Eggesford;EGGESFD
EGH;Egham;EGHAM
EGN;Eastrington;ESTRNGT
EGR;East Grinstead;EGRNSTD
EGT;Egton;EGTON
EKL;East Kilbride;EKILBRD
ELD;Earlswood (Surrey);EARLSWD
ELE;Elmers End;ELMERSE
ELG;Elgin;ELGIN
ELO;Elton & Orston;ELTON
ELP;Ellesmere Port;ELSMPRT
ELR;Elsecar;ELSC
ELS;Elstree & Borehamwood;ELTR
ELW;Eltham;ELTHAM
ELY;Ely (Cambs);ELYY
EMD;East Midlands Parkway;EMPKWAY
EML;East Malling;EMALING
EMP;Emerson Park;EMRSPKH
EMS;Emsworth;EMSWTH
